"method","region","roi","sensMEAN","sensSD","espMEAN","espSD","ppvMEAN","ppvSD","npvMEAN","npvSD"
"SCC","ROI 4","10",84.2227873242461,0.936464934449443,95.4434372701127,0.146581605812794,97.1875323412509,0.279749784435158,76.3233711210352,1.13963320644858
"SCC","ROI 4","40",84.2227873242461,0.936464934449443,95.4434372701127,0.146581605812794,97.1875323412509,0.279749784435158,76.3233711210352,1.13963320644858
"SCC","ROI 4","80",84.2227873242461,0.936464934449443,95.4434372701127,0.146581605812794,97.1875323412509,0.279749784435158,76.3233711210352,1.13963320644858
"SCC","ROI 2","10",74.964090920675,1.35666848076919,89.9747789572712,0.0817232282465059,81.8205991561423,1.23947023868611,85.6347188824001,0.575046238232492
"SCC","ROI 2","40",74.964090920675,1.35666848076919,89.9747789572712,0.0817232282465059,81.8205991561423,1.23947023868611,85.6347188824001,0.575046238232492
"SCC","ROI 2","80",74.964090920675,1.35666848076919,89.9747789572712,0.0817232282465059,81.8205991561423,1.23947023868611,85.6347188824001,0.575046238232492
"SCC","ROI 3","10",71.778917398895,1.84176783639376,89.6289166480272,0.12598075227757,82.9239271769955,1.4888583935736,81.8701477155617,0.688491050227098
"SCC","ROI 3","40",71.778917398895,1.84176783639376,89.6289166480272,0.12598075227757,82.9239271769955,1.4888583935736,81.8701477155617,0.688491050227098
"SCC","ROI 3","80",71.778917398895,1.84176783639376,89.6289166480272,0.12598075227757,82.9239271769955,1.4888583935736,81.8701477155617,0.688491050227098
"SCC","ROI 1","10",61.0313692007671,6.59169608856765,88.2178181505226,0.120773113016416,33.5384858171675,5.70663762093373,95.9392534066186,0.265037066148109
"SCC","ROI 1","40",61.0313692007671,6.59169608856765,88.2178181505226,0.120773113016416,33.5384858171675,5.70663762093373,95.9392534066186,0.265037066148109
"SCC","ROI 1","80",61.0313692007671,6.59169608856765,88.2178181505226,0.120773113016416,33.5384858171675,5.70663762093373,95.9392534066186,0.265037066148109
"SPM","ROI 4","10",25.7596737400575,2.69371995510113,95.0153509651545,0.12182477539315,73.6354665981103,3.49759738238935,70.0532094594595,1.05529480904152
"SPM","ROI 4","40",60.6867619711012,2.05014004420279,95.532426030566,0.113319999059545,92.8676655778291,0.71860816405164,71.6216854535695,1.08557431406523
"SPM","ROI 4","80",73.7553266510923,1.54811954177357,96.1101037417461,0.108420641438221,96.1868604637953,0.353267283279062,73.2902380432409,1.12362988206436
"SPM","ROI 2","10",57.0812035615062,5.01418804098052,97.8542356570649,0.227603241525019,91.1711779649229,2.70232259818514,85.0227890445327,0.367648519846529
"SPM","ROI 2","40",88.8411260073833,0.710389571545391,95.0126156726387,0.0701423638113308,94.5445587838771,0.366555996232009,89.7307124190433,0.578122703524206
"SPM","ROI 2","80",94.5941354081484,0.435465611367082,95.4221528728562,0.0850498256964581,96.5429882717529,0.244947731327922,92.871662763466,0.600740617798927
"SPM","ROI 3","10",20.6199992716099,1.59868978958754,94.7124237127643,0.0559005076199815,53.5954374058562,2.57312623875844,80.0593408922327,0.620451109637188
"SPM","ROI 3","40",92.1257042795526,0.43342785523285,95.0222890024599,0.0913517842322105,96.6009691824902,0.244054883583227,88.6851526851527,0.694189081732405
"SPM","ROI 3","80",96.6881332494753,0.249588696004496,95.4416331709752,0.0808392850391413,97.7731554292621,0.168456667784371,93.2666911674629,0.710354805108246
"SPM","ROI 1","10",0,0,94.9459415618573,0.01265709589596,0,0,95.5331602924038,0.251772563985512
"SPM","ROI 1","40",0,0,95.21970306059,0.0119715032015945,0,0,95.5454305335446,0.25108095419538
"SPM","ROI 1","80",0,0,95.21970306059,0.0119715032015945,0,0,95.5454305335446,0.25108095419538
