region,roi,p_sens,sig_sens,p_esp,sig_esp,p_ppv,sig_ppv,p_npv,sig_npv
ROI 1,10,5.244554913118513e-24,***,9.44031016153662e-42,***,1.519930591488477e-19,***,2.3132456504192464e-13,***
ROI 1,40,5.244554913118513e-24,***,3.690442698126656e-42,***,1.519930591488477e-19,***,4.316418087102188e-13,***
ROI 1,80,5.244554913118513e-24,***,3.690442698126656e-42,***,1.519930591488477e-19,***,4.316418087102188e-13,***
ROI 2,10,2.591580213757565e-16,***,7.592407899338912e-36,***,3.089449952058763e-17,***,3.880731066157239e-11,***
ROI 2,40,2.0113906231513935e-29,***,1.3812119582390735e-54,***,1.1220857722149869e-28,***,1.2306313101825385e-56,***
ROI 2,80,2.1452178359909723e-31,***,1.3047194394498315e-52,***,2.5112698128020472e-29,***,2.0073448652809684e-55,***
ROI 3,10,7.732421283311918e-35,***,1.2356280344704866e-44,***,1.47414269640692e-27,***,2.8237016694035782e-33,***
ROI 3,40,8.463009303703602e-29,***,3.704037120795439e-48,***,1.5982314381940863e-26,***,3.0707465929367155e-56,***
ROI 3,80,1.6200953937271247e-29,***,2.4933642520643823e-45,***,8.053344779412057e-27,***,7.310513696907208e-57,***
ROI 4,10,1.4716232979884798e-35,***,2.569229274950394e-22,***,2.0917201413951882e-22,***,2.3241662152386707e-45,***
ROI 4,40,2.8282537297721764e-32,***,5.243513553970143e-6,***,5.696761983737329e-25,***,1.9377720161963065e-44,***
ROI 4,80,1.176171973848675e-30,***,8.801440069345664e-22,***,2.4620379958093696e-24,***,1.2217356064133402e-40,***
